Team,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
Nazareth,"MacLachlan,Katie",16.0,3.0,6.0,50.0,1.0,3.0,33.33,2.0,2.0,100.0,2,0,2,0.0,2.0,1.0,1,2,9.0
WPI,"MacPhetres,Delaney",2.0,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,2.0
Lasell,"Mack,Blaize",43.0,9.0,20.0,45.0,0.0,1.0,0.0,5.0,8.0,62.5,4,3,7,2.0,2.0,1.0,4,6,23.0
VTSU Lyndon,"Mack,Kiara",23.0,1.0,5.0,20.0,0.0,0.0,,0.0,0.0,,2,5,7,1.0,1.0,2.0,4,3,2.0
Wentworth,Maddie Gaynor,16.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1,0,1,2.0,0.0,0.0,3,2,0.0
Westfield St.,Maddie Pond,16.0,8.0,17.0,47.06,5.0,10.0,50.0,2.0,2.0,100.0,2,3,5,4.0,11.0,0.0,2,0,23.0
Wentworth,Maddy Foster,23.0,3.0,6.0,50.0,1.0,2.0,50.0,0.0,2.0,0.0,4,3,7,2.0,0.0,0.0,7,2,7.0
St. Joseph's (ME),"Madore,Hayden",21.0,3.0,7.0,42.86,1.0,5.0,20.0,0.0,0.0,,0,2,2,1.0,0.0,0.0,1,2,7.0
Lasell,"Major,Shirle",48.0,9.0,22.0,40.91,5.0,12.0,41.67,1.0,2.0,50.0,4,1,5,6.0,3.0,0.0,6,8,24.0
Fitchburg St.,Malaica Guillaume,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,1,0.0
Dean College,Maranda Cournoyer,27.0,1.0,7.0,14.29,0.0,1.0,0.0,0.0,2.0,0.0,0,2,2,1.0,1.0,0.0,3,0,2.0
Regis (MA),"Marinelli, Erika",26.0,2.0,8.0,25.0,1.0,5.0,20.0,1.0,2.0,50.0,1,0,1,2.0,0.0,0.0,1,2,6.0
Elms,Mary Turco,145.0,29.0,46.0,63.04,0.0,0.0,,9.0,23.0,39.13,24,36,60,7.0,9.0,8.0,24,21,67.0
Emmanuel (MA),"Matela,Olivia",42.0,6.0,14.0,42.86,2.0,10.0,20.0,2.0,4.0,50.0,0,14,14,10.0,6.0,0.0,0,4,16.0
New England Col.,"Matlock,Gabriella",8.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,,1,0,1,0.0,0.0,0.0,0,3,0.0
Amherst,Maya Cwalina,35.0,5.0,11.0,45.45,1.0,2.0,50.0,2.0,2.0,100.0,5,9,14,0.0,0.0,6.0,1,3,13.0
Salem St.,"McConney,Amayah",15.0,2.0,5.0,40.0,0.0,1.0,0.0,0.0,0.0,,1,3,4,0.0,0.0,0.0,2,0,4.0
New England Col.,"McDonald,Mackenzie",9.0,1.0,3.0,33.33,0.0,0.0,,0.0,0.0,,0,2,2,2.0,0.0,0.0,0,0,2.0
Nazareth,"McDowell,Sarina",22.0,8.0,10.0,80.0,0.0,0.0,,1.0,1.0,100.0,1,4,5,6.0,2.0,1.0,2,0,17.0
Norwich,"McGinn,Maren",26.0,10.0,16.0,62.5,0.0,0.0,,3.0,3.0,100.0,4,4,8,0.0,1.0,0.0,3,4,23.0
Emerson,"McGovern,Lisee",2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
VTSU Lyndon,"McIntire,Chloe",2.0,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0,1,1,0.0,0.0,1.0,0,0,0.0
Saint Joseph (CT),"McTier,Gjamory'a",6.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0,2,2,0.0,0.0,0.0,0,0,2.0
Elms,Mia Pacheco,13.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,2.0,0.0,2,4,6,0.0,0.0,0.0,5,1,3.0
Elms,"Mildner, Stephanie",3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,1,1,1.0,0.0,0.0,0,0,0.0
Elms,"Mildner,Stephanie",27.0,5.0,9.0,55.56,0.0,0.0,,0.0,2.0,0.0,3,5,8,2.0,0.0,0.0,3,2,10.0
Albertus Magnus,"Mitchell, Jaelynn",6.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,0,2,2.0
Colby-Sawyer,"Mitchell,Elyza",33.0,1.0,3.0,33.33,0.0,1.0,0.0,0.0,0.0,,0,6,6,2.0,4.0,0.0,3,3,2.0
JWU (Providence),"Mitchell,Qubilah",9.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1,0,1,1.0,0.0,1.0,1,1,0.0
JWU (Providence),"Moley,Keira",0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
New England Col.,"Moody,Zaniya",13.0,2.0,2.0,100.0,0.0,0.0,,1.0,2.0,50.0,0,0,0,3.0,1.0,0.0,1,1,5.0
Salem St.,"Morales,Janeishelly",1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,1,0,0.0
Westfield St.,Morgan Berthiaume,17.0,1.0,4.0,25.0,1.0,1.0,100.0,1.0,2.0,50.0,4,3,7,3.0,4.0,0.0,2,2,4.0
New England Col.,"Moss,Amya",38.0,3.0,7.0,42.86,0.0,0.0,,4.0,8.0,50.0,1,4,5,4.0,0.0,0.0,5,2,10.0
Rivier,"Muchemore,Hannah",27.0,3.0,12.0,25.0,2.0,7.0,28.57,4.0,6.0,66.67,1,1,2,4.0,5.0,0.0,3,1,12.0
Albertus Magnus,"Murphy, Ava",0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Albertus Magnus,"Murray-Leach, Jakara",24.0,7.0,8.0,87.5,1.0,1.0,100.0,0.0,0.0,,3,7,10,3.0,2.0,1.0,0,2,15.0
Gordon,Naomi Nicholson,29.0,3.0,10.0,30.0,3.0,8.0,37.5,1.0,2.0,50.0,2,5,7,3.0,4.0,0.0,3,0,10.0
Lasell,"Nealy,Juju",57.0,6.0,17.0,35.29,3.0,8.0,37.5,0.0,0.0,,0,1,1,5.0,3.0,1.0,2,3,15.0
WPI,"Nielsen,Leila",10.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,1,0,1,1.0,0.0,1.0,0,1,0.0
Salem St.,"Nieves,Jaylen",19.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,100.0,0,6,6,2.0,0.0,0.0,3,5,4.0
Norwich,"O'Brien,Kiley",29.0,5.0,9.0,55.56,0.0,1.0,0.0,0.0,0.0,,0,4,4,3.0,0.0,1.0,1,4,10.0
Anna Maria,"O'Connor,Sarah",23.0,4.0,5.0,80.0,1.0,1.0,100.0,2.0,2.0,100.0,2,0,2,1.0,3.0,0.0,1,1,11.0
Norwich,"O'Donnell,Siobhan",30.0,2.0,6.0,33.33,0.0,1.0,0.0,0.0,0.0,,1,2,3,4.0,4.0,0.0,6,2,4.0
